,City,Population,Zip Codes
103,Modesto,"215,030
","95350–95358, 95397"
104,Fontana,"213,739
","92331, 92334–92337[12]"
105,Santa Clarita,"210,089
","91310, 91321–91322, 91350–91351, 91354–91355, 91380–91387, 91390"
106,Birmingham,"209,880
",35201–35298
107,Oxnard,"209,877
",93030–93036
108,Fayetteville,"209,468
","28301, 28302, 28303, 28304, 28305, 28306, 28307 (Fort Bragg), 28308 (Pope AAF), 28309, 28310 (Fort Bragg), 28311, 28312, 28314,28387,28374"
109,Moreno Valley,"209,050
",92551–92557
110,Rochester,"206,284
",146xx (14604=downtown)
111,Glendale,"201,361
","91201–91210, 91214, 91221, 91222, 91224–91226"
112,Huntington Beach,"200,641
","92605, 92615, 92646–92649"
113,Salt Lake City,"200,591
","
ZIP Codes[3]
84101-84128, 84130-84134, 84136, 84138-84139, 84141, 84143-84145, 84147-84148, 84150-84152, 84157-84158, 84165, 84170-84171, 84180, 84184, 84189-84190, 84199
"
114,Grand Rapids,"200,217
","49501, 49502, 49503, 49504, 49505, 49506, 49507, 49508, 49510, 49514, 49515, 49516, 49518, 49523, 49525, 49534, 49546, 49548, 49555, 49560, 49588, 49594"
115,Amarillo,"199,924
","79101-79111, 79114, 79116-79121, 79123-79124, 79159, 79163, 79166-79168, 79171-79172, 79174, 79178, 79182, 79185, 79187, 79189"
116,Yonkers,"199,663
","10701, 10702 (post office), 10703, 10704, 10705, 10707 (shared with Tuckahoe, NY), 10708 (shared with Bronxville, NY), 10710"
117,Aurora,"199,602
","60502–60507, 60568, 60569, 60572, 60598"
118,Montgomery,"198,218
","36013, 36043, 36064, 36104, 36105, 36106, 36107, 36108, 36109, 36110, 36111, 36112, 36113, 36115, 36116, 36117"
119,Akron,"198,006
","44301-44321, 44325, 44326, 44328, 44333, 44334, 44372, 44396, 44398"
120,Little Rock,"197,881
","72002, 72103, 72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227"
121,Huntsville,"197,318
","35649, 35749, 35748, 35754, 35756, 35757, 35671, 35741, 35762, 35763, 35773, 35801–35816, 35824, 35893-35899"
122,Augusta,"196,939
","30901, 30904, 30906, 30907, 30909, 30912,[5] 30815"
123,Port St. Lucie,"195,248
",N/A
124,Grand Prairie,"194,614
",75050-75054
125,Columbus,"194,160
","31820, 31829, 31900-09, 31914, 31917, 31993-94, 31997-99"
126,Tallahassee,"193,551
",32300–32399
127,Overland Park,"192,536
",N/A
128,Tempe,"192,364
","85281, 85282, 85283, 85284, 85285, 85287"
129,McKinney,"191,645
",75069-75072
130,Mobile,"189,572
","
Zip codes[7]
36601-36612, 36615-36619, 36625, 36628, 36630, 36633, 36640-36641, 36644, 36652, 36660, 36663, 36670-36671, 36675, 36685, 36688-36689, 36691, 36693, 36695
"
131,Cape Coral,"189,343
","33904, 33909, 33914, 33990, 33991, 33993"
132,Shreveport,"188,987
",N/A
133,Frisco,"188,170
","75033-75036, 75068, 75071"
134,Knoxville,"187,500
","37901-37902, 37909, 37912, 37914-37924, 37927-37934, 37938-37940, 37950, 37995-37998"
135,Worcester,"185,877
","01601–01610, 01612–01615, 01653–01655"
136,Brownsville,"183,392
","78520, 78521, 78522, 78523, 78526"
137,Vancouver,"183,012
",N/A
138,Fort Lauderdale,"182,595
","33301, 33304-33306, 33308-33309, 33312-33313, 33315-33316, 33334, 33394[9]"
139,Sioux Falls,"181,883
","
Zip codes[5]
57101, 57103-57110, 57117-57118, 57186, 57188-57189, 57192-57193, 57197-57198
"
140,Ontario,"181,107
","91758, 91761, 91762, 91764"
141,Chattanooga,"180,557
","37341, 37343, 37350, 37351, 37363, 37377, 37379, 37402, 37403, 37404, 37405, 37406, 37407, 37408, 37409, 37410, 37411, 37412, 37415, 37416, 37419, and 37421[5]"
142,Providence,"179,335
","02901–02912, 02918, 02919, 02940"
143,Newport News,"178,626
",23601-23609
144,Rancho Cucamonga,"177,751
","91701, 91729, 91730, 91737, 91739[11]"
145,Santa Rosa,"177,586
","95401–95407, 95409[9]"
146,Oceanside,"176,080
","92049, 92051, 92052, 92054, 92056–92058"
147,Salem,"173,442
","97301, 97302, 97303, 97304, 97305, 97306, 97308, 97309, 97310, 97311, 97312, 97313 & 97314"
148,Elk Grove,"172,886
","95624, 95757–95759"
149,Garden Grove,"172,646
",92840–92846
150,Pembroke Pines,"172,374
","33023-33029, 33330-33332"
151,Peoria,"172,259
","85345, 85381, 85382, 8538385373 (Sun City)85387 (Morristown)"
152,Eugene,"171,245
","97401–97405, 97408, 97440"
153,Corona,"168,819
",92877–92883
